Symbol,Name,Sector,CommonName
NBL,Noble Energy,Energy,Noble Energy
NSC,Norfolk Southern Corp.,Industrials,Norfolk Southern
NTRS,Northern Trust Corp.,Financials,Northern Trust
NOC,Northrop Grumman,Industrials,Northrop Grumman
NLOK,NortonLifeLock,Information Technology,NortonLifeLock
NCLH,Norwegian Cruise Line Holdings,Consumer Discretionary,Norwegian Cruise
NRG,NRG Energy,Utilities,NRG
NUE,Nucor Corp.,Materials,Nucor
NVDA,Nvidia Corporation,Information Technology,Nvidia
NVR,NVR Inc.,Consumer Discretionary,NVR
ORLY,O'Reilly Automotive,Consumer Discretionary,O'Reilly
OXY,Occidental Petroleum,Energy,Occidental
ODFL,Old Dominion Freight Line,Industrials,Old Dominion
OMC,Omnicom Group,Communication Services,Omnicom
OKE,ONEOK,Energy,ONEOK
ORCL,Oracle Corp.,Information Technology,Oracle
OTIS,Otis Worldwide,Industrials,Otis Worldwide
PCAR,PACCAR Inc.,Industrials,PACCAR
PKG,Packaging Corporation of America,Materials,Packaging Corporation of America
PH,Parker-Hannifin,Industrials,Parker-Hannifin
PAYX,Paychex Inc.,Information Technology,Paychex
PAYC,Paycom,Information Technology,Paycom
PYPL,PayPal,Information Technology,PayPal
PNR,Pentair plc,Industrials,Pentair
PBCT,People's United Financial,Financials,People's United Financial
PEP,PepsiCo Inc.,Consumer Staples,PepsiCo
PKI,PerkinElmer,Health Care,PerkinElmer
PRGO,Perrigo,Health Care,Perrigo
PFE,Pfizer Inc.,Health Care,Pfizer
PM,Philip Morris International,Consumer Staples,Philip Morris
PSX,Phillips 66,Energy,Phillips
PNW,Pinnacle West Capital,Utilities,Pinnacle
PXD,Pioneer Natural Resources,Energy,Pioneer
PNC,PNC Financial Services,Financials,PNC
PPG,PPG Industries,Materials,PPG
PPL,PPL Corp.,Utilities,PPL
PFG,Principal Financial Group,Financials,Principal Financial
PG,Procter & Gamble,Consumer Staples,Procter & Gamble
PGR,Progressive Corp.,Financials,Progressive
PLD,Prologis,Real Estate,Prologis
PLTR,Palantir Technologies Inc.,Information Technology,Palantir
PRU,Prudential Financial,Financials,Prudential
PEG,Public Service Enterprise Group (PSEG),Utilities,Public Service Enterprise
PSA,Public Storage,Real Estate,Public Storage
PHM,PulteGroup,Consumer Discretionary,PulteGroup
PVH,PVH Corp.,Consumer Discretionary,PVH
QRVO,Qorvo,Information Technology,Qorvo
QCOM,QUALCOMM Inc.,Information Technology,QUALCOMM
PWR,Quanta Services Inc.,Industrials,Quanta Services
DGX,Quest Diagnostics,Health Care,Quest
RL,Ralph Lauren Corporation,Consumer Discretionary,Ralph Lauren
RJF,Raymond James Financial Inc.,Financials,Raymond James
RTX,Raytheon Technologies,Industrials,Raytheon
O,Realty Income Corporation,Real Estate,Realty Income
REG,Regency Centers Corporation,Real Estate,Regency Centers
REGN,Regeneron Pharmaceuticals,Health Care,Regeneron
RF,Regions Financial Corp.,Financials,Regions Financial
RSG,Republic Services Inc,Industrials,Republic Services
RMD,ResMed,Health Care,ResMed
RHI,Robert Half International,Industrials,Robert Half
ROK,Rockwell Automation Inc.,Industrials,Rockwell Automation
ROL,Rollins Inc.,Industrials,Rollins
ROP,Roper Technologies,Industrials,Roper Technologies
ROST,Ross Stores,Consumer Discretionary,Ross Stores
RCL,Royal Caribbean Group,Consumer Discretionary,Royal Caribbean
SPGI,S&P Global Inc.,Financials,S&P
CRM,Salesforce.com,Information Technology,Salesforce
SBAC,SBA Communications,Real Estate,SBA
SLB,Schlumberger Ltd.,Energy,Schlumberger
STX,Seagate Technology,Information Technology,Seagate
SEE,Sealed Air,Materials,Sealed Air
SRE,Sempra Energy,Utilities,Sempra
NOW,ServiceNow,Information Technology,ServiceNow
SHW,Sherwin-Williams,Materials,Sherwin-Williams
SPG,Simon Property Group Inc,Real Estate,Simon Property
SWKS,Skyworks Solutions,Information Technology,Skyworks
SLG,SL Green Realty,Real Estate,SL Green
SNA,Snap-on,Industrials,Snap-on
SO,Southern Company,Utilities,Southern
LUV,Southwest Airlines,Industrials,Southwest
SWK,Stanley Black & Decker,Industrials,Stanley Black
SBUX,Starbucks Corp.,Consumer Discretionary,Starbucks
STT,State Street Corp.,Financials,State Street
STE,STERIS plc,Health Care,STERIS
SYK,Stryker Corp.,Health Care,Stryker
SIVB,SVB Financial,Financials,SVB
SYF,Synchrony Financial,Financials,Synchrony
SNPS,Synopsys Inc.,Information Technology,Synopsys
SYY,Sysco Corp.,Consumer Staples,Sysco
TMUS,T-Mobile US,Communication Services,T-Mobile
TROW,T. Rowe Price Group,Financials,T. Rowe Price
TTWO,Take-Two Interactive,Communication Services,Take-Two
TPR,Tapestry Inc.,Consumer Discretionary,Tapestry
TGT,Target Corp.,Consumer Discretionary,Target
TEL,TE Connectivity Ltd.,Information Technology,TE Connectivity
FTI,TechnipFMC,Energy,TechnipFMC
TDY,Teledyne Technologies,Industrials,Teledyne
TFX,Teleflex,Health Care,Teleflex
TXN,Texas Instruments,Information Technology,Texas
TXT,Textron Inc.,Industrials,Textron
BK,The Bank of New York Mellon,Financials,Bank of New York Mellon
CLX,The Clorox Company,Consumer Staples,Clorox
COO,The Cooper Companies,Health Care,Cooper
HSY,The Hershey Company,Consumer Staples,Hershey
MOS,The Mosaic Company,Materials,Mosaic
TRV,The Travelers Companies Inc.,Financials,Travelers
DIS,The Walt Disney Company,Communication Services,Disney
TMO,Thermo Fisher Scientific,Health Care,Thermo Fisher
TIF,Tiffany & Co.,Consumer Discretionary,Tiffany
TJX,TJX Companies Inc.,Consumer Discretionary,TJX
TSCO,Tractor Supply Company,Consumer Discretionary,Tractor Supply
TSLA,Tesla Inc.,Consumer Discretionary,Tesla
TT,Trane Technologies plc,Industrials,Trane
TDG,TransDigm Group,Industrials,TransDigm
TFC,Truist Financial,Financials,Truist
TWTR,Twitter Inc.,Communication Services,Twitter
TYL,Tyler Technologies,Information Technology,Tyler
TSN,Tyson Foods,Consumer Staples,Tyson
USB,U.S. Bancorp,Financials,U.S.
UDR,UDR Inc.,Real Estate,UDR
ULTA,Ulta Beauty,Consumer Discretionary,Ulta
UAA,Under Armour (Class A),Consumer Discretionary,Under Armour
UA,Under Armour (Class C),Consumer Discretionary,Under Armour
UNP,Union Pacific Corp,Industrials,Union Pacific
UAL,United Airlines Holdings,Industrials,United Airlines
UNH,United Health Group Inc.,Health Care,United Health
UPS,United Parcel Service,Industrials,United Parcel
URI,United Rentals Inc.,Industrials,United Rentals
UHS,Universal Health Services,Health Care,Universal Health
UNM,Unum Group,Financials,Unum
VLO,Valero Energy,Energy,Valero
VAR,Varian Medical Systems,Health Care,Varian Medical
VTR,Ventas Inc,Real Estate,Ventas
VRSN,Verisign Inc.,Information Technology,Verisign
VRSK,Verisk Analytics,Industrials,Verisk
VZ,Verizon Communications,Communication Services,Verizon
VRTX,Vertex Pharmaceuticals Inc,Health Care,Vertex
VFC,VF Corporation,Consumer Discretionary,VF
VIAC,ViacomCBS,Communication Services,ViacomCBS
V,Visa Inc.,Information Technology,Visa
VNO,Vornado Realty Trust,Real Estate,Vornado
VMC,Vulcan Materials,Materials,Vulcan
WRB,W. R. Berkley Corporation,Financials,Berkley
WAB,Wabtec Corporation,Industrials,Wabtec
WBA,Walgreens Boots Alliance,Consumer Staples,Walgreens
WMT,Walmart,Consumer Staples,Walmart
WM,Waste Management Inc.,Industrials,Waste Management
WAT,Waters Corporation,Health Care,Waters Corporation
WEC,WEC Energy Group,Utilities,WEC Energy
WFC,Wells Fargo,Financials,Wells Fargo
WELL,Welltower Inc.,Real Estate,Welltower
WST,West Pharmaceutical Services,Health Care,West Pharmaceutical
WDC,Western Digital,Information Technology,Western Digital
WU,Western Union Co,Information Technology,Western Union
WRK,WestRock,Materials,WestRock
WY,Weyerhaeuser,Real Estate,Weyerhaeuser
WHR,Whirlpool Corp.,Consumer Discretionary,Whirlpool
WMB,Williams Companies,Energy,Williams Companies
WLTW,Willis Towers Watson,Financials,Willis Towers Watson
WYNN,Wynn Resorts Ltd,Consumer Discretionary,Wynn
XEL,Xcel Energy Inc,Utilities,Xcel
XRX,Xerox,Information Technology,Xerox
XLNX,Xilinx,Information Technology,Xilinx
XYL,Xylem Inc.,Industrials,Xylem
YUM,Yum! Brands Inc,Consumer Discretionary,Yum!
ZBRA,Zebra Technologies,Information Technology,Zebra Technologies
ZBH,Zimmer Biomet Holdings,Health Care,Zimmer Biomet
ZION,Zions Bancorp,Financials,Zions
ZTS,Zoetis,Health Care,Zoetis
