Symbol,Name,CommonName,Sector
VZ,Verizon Communications,Verizon,Communication Services
VRTX,Vertex Pharmaceuticals Inc,Vertex,Health Care
VFC,VF Corporation,VF,Consumer Discretionary
VIAC,ViacomCBS,ViacomCBS,Communication Services
V,Visa Inc.,Visa,Information Technology
VNO,Vornado Realty Trust,Vornado,Real Estate
VMC,Vulcan Materials,Vulcan,Materials
WRB,W. R. Berkley Corporation,Berkley,Financials
WAB,Wabtec Corporation,Wabtec,Industrials
WBA,Walgreens Boots Alliance,Walgreens,Consumer Staples
WMT,Walmart,Walmart,Consumer Staples
WM,Waste Management Inc.,Waste Management,Industrials
WAT,Waters Corporation,Waters Corporation,Health Care
WEC,WEC Energy Group,WEC Energy,Utilities
WFC,Wells Fargo,Wells Fargo,Financials
WELL,Welltower Inc.,Welltower,Real Estate
WST,West Pharmaceutical Services,West Pharmaceutical,Health Care
WDC,Western Digital,Western Digital,Information Technology
WU,Western Union Co,Western Union,Information Technology
WRK,WestRock,WestRock,Materials
WY,Weyerhaeuser,Weyerhaeuser,Real Estate
WHR,Whirlpool Corp.,Whirlpool,Consumer Discretionary
WMB,Williams Companies,Williams Companies,Energy
WLTW,Willis Towers Watson,Willis Towers Watson,Financials
WYNN,Wynn Resorts Ltd,Wynn,Consumer Discretionary
XEL,Xcel Energy Inc,Xcel,Utilities
XRX,Xerox,Xerox,Information Technology
XLNX,Xilinx,Xilinx,Information Technology
XYL,Xylem Inc.,Xylem,Industrials
YUM,Yum! Brands Inc,Yum!,Consumer Discretionary
ZBRA,Zebra Technologies,Zebra Technologies,Information Technology
ZBH,Zimmer Biomet Holdings,Zimmer Biomet,Health Care
ZION,Zions Bancorp,Zions,Financials
ZTS,Zoetis,Zoetis,Health Care
