index,comment
176,lol ofc aapl fading
177,I should have sold my entire account and bought 2 tsla calls as soon as the stock split news came out
178,"I have a 520c expiring December and a 480c expiring 9/18, thinking of just selling the September to hop into tsla while keeping the December for their product launches"
179,Oh yeah aapl just sell off at open just like always
180,How long till we’re talkin msft 2T 👀
181,"No way MMs can let all those 8/28 tsla 2300c get in the money, right?"
182,I'm gonna laugh my ass off when tsla and rkt become red
183,Iz ok aapl you moon when you’re good and ready (today)
184,0 dte TSLA 2300C...this shit is fucking nerve-wracking
185,plz amd don’t do the think where u spike and just crash
186,What we doing abt our AAPL calls?
187,Why does amd tease me ..
188,I'm going to post bearish aapl shit all day so that my calls will print.
189,Dam that amd dild was something
190,Will def print imo. WMT isnt going anywhere.
191,Barely got out of my 250/ 260 ulta for 3.00.... :(
192,I am starting to wish I should have gone into tsla instead of aapl
193,Buy back into aapl at like 498 boys
194,yessir ppl made fun of it but i got in and out with good gains
195,Monster ttwo breakout coming soon
196,Lol aapl manipulated hard
197,Why the hell are my soyb calls spiking off of the jpow speech? Did I miss some news?
198,Praying for 9:45 tsla dip
199,"God I hate tesla. When will she ever stop, let me guess it surpasses aapl soon too"
200,im honestly really fucking tired of this aapl dump. fucking hell it's been nothing but bullish news and yet we have cocksuckers like Facebook getting the pump
201,This is the first morning from aapl that looks different i feel good about it
202,will probably buy nio calls when volume drops a bit. way oversold. note: I have no clue what the company is or does
203,"I just want aapl to crater at this point, this week has been fucking terrible watching that chart"
204,"good or bad?   
I had a yolo bynd put credit spread that's still way out of the money.. almost ready to convert to iron condor or close."
205,"good or bad?   
I had a yolo bynd put credit spread that's still way out of the money.. almost ready to convert to iron condor or close."
206,Sell aapl go cash gang
207,"what happened to deep otm tsla calls? was just looking at 3400, now everything is capped at 2500!??"
208,Who bought 510 fds at open? Thanks for the free money
209,Somebody stop tesla and help my buddy aapl out
210,Got fucked by Huawei...can’t sell anymore to them cuz of Trump
211,Need msft to announce tiktok deal
212,Past few months I told myself whatever money I go to put in rh I’m making it a car payment... payed off over $6500 that quick
213,Someone give me an eod 3:59 play 1k yolo last of my savings
214,Someone give me an eod 3:59 play 1k yolo last of my savings
215,"Tsla fds making me tendies this morning, why bother with anything else? lol"
216,damn aapl definitely being manipulated and pinned to 500.
217,Not sure what’s up with your calculators but max value of that spread should be $5k. You might have luck selling the spread at a higher price bc of volatility or something
218,Lol look at that Facebook drop. Figured the tik tok deal was priced in
219,Imagine if uvxy becomes the next hot Robinhood stock lol
220,Someone explain to me what the fuck happened with netflix and roku recently
221,Diamond hand tsla or get out now fuck!!!
222,"What she’ll I do with my tsla calls that expire today, when she’ll I sell why time"
223,"Dang should have bought even more pton calls. 

Was worried about phase 3 vaccine news tanking it."
224,Had big plans to day trade tsla or Appl today but have a really shitty gut feeling so no moves. Good luck peeps
225,"Looks like mm still pumping epicenter stocks, maybe it ends Monday or maybe abt for real"
226,"CLDR 13c, MDB 235c , ZM 310c  earnings are on Monday. My 40 delta 9/4 exp calls bought this week are up \~20% each. Sell today or valhalla through earnings?

Also bought HOME 21c 9/18 that's the only bunch of calls down. Gonna diamond hand that bitch through earnings"
227,Anyone buying aapl calls for the split into next week?
228,Is there like a SaaS/e-commerce ETF somewhere that I’m not aware of ? Noticing how closely wix and shop correlate these past couple days got me curious.
229,"What if papa buffet decided 500 aapl is when he sells
Ya’ll w calls above 500 fucked"
230,ty ulta for putting me in the green again 🙏
231,hmm... I would think aapl would rally into closing and open monday since if it splits more broke people can buy
232,"#down 50% on the year, need a 100% return yolo so I can get back to even

#who we got?"
233,Hopped on nvda seems like free money
234,Sold my 505 call exp today. If you're wondering why apples going back up
235,"I sell my QQQ $294c exp today, and NOW it goes up?"
236,holding MSFT just incase they decide to announce they bought tik tok today
237,Buy aapl or tsla. Shares. Not options.
238,made $5 off an amd flip. i think im gonna be a full time day trader now
239,This aapl is a real piece of shit ya know.
240,It gets clicks bc it’s true lmao the entire RNC has been a constant stream of falsities and bs
241,Got faith in Tsla and don’t really have a choice with aapl lol
242,"when they officially announce the tik tok buyout is done, i dont think a pump to 250 is out of the question"
243,"anyone with experience trading debit call spreads on rh, If my debit call spread is itm through expiration, can I just let it expire without worry. Or would you still close early and give up a $100 or so from max profit?"
244,Guys what the FUCK am I doing with my tsla calls
245,intc and amd treating me nice bc aapl doesn't want to 🥺
246,intc and amd treating me nice bc aapl doesn't want to 🥺
247,intc and amd treating me nice bc aapl doesn't want to 🥺
248,Let’s go! So glad I qued my ulta put credit spreads at pre market. Sold them at like +90% now they’re going back up 🤣
249,"I'm tired of making all the losing plays

going all in tsla fd with everything I have left

TSLA PLS"
250,By puts on amc yesterday ez cash
251,25% for me. I’m just letting amd &amp; rkt ride. Jo more plays.
252,"Tbh who dafuk is playing witg indices now?

So many good stocks to play - look at sne, su, csiq, ohi...


If you're looking for next plays pfe and azn are starting to approach their juicy point of entry"
253,"Tbh who dafuk is playing witg indices now?

So many good stocks to play - look at sne, su, csiq, ohi...


If you're looking for next plays pfe and azn are starting to approach their juicy point of entry"
254,"Honestly, I think it’s a run up just because people are bored. I sold half my holdings at the top to get my investment back plus more, the remainder pure gains. I think this’ll be $80 in Sept.  position: $67.5c exp 9/25"
255,CRWD bby pls go back to 115 so I can buy calls
256,Work and jmia calls
257,I held aapl calls all week XD
258,Been in since last week @29.5 exp sep11
259,Fuck amzn jmia my best friend now
260,Fuck amzn jmia my best friend now
261,Xtra funny since aapl currently on 🌝
262,Gayest things ever: 1) pdt rule and 2) wash sale rule.
263,Would appreciate it if we just get on the flush so I can sell these vxx calls
264,tf is this dip abt pls keep going up thxxxxx
265,So I should sell my uvxy calls??
266,Wtf why isn’t AAPL up 40% today? Sick of this market manipulation smh 🙄
267,Eww why is intc up?
268,fb and aapl ready to lift off
269,Azn and pfe starting to look juicy
270,where does roku stop...wtf... do i fomo????
271,I exited aapl earlier today. At this point idgaf if it moons and i hope it does for whoevers holding but that shit was giving me cancer this morning
272,"It's called What's App/Facetime, get on wifi and you're golden"
273,man hope ppl took their ULTA gains at open heh
274,"my 15 INTC 55c 10/16s from end of july actually going 18% green lmao; 65% jump on the day.

Gave them up for dead. Let's see where this goes; pretty much my only position left unsold, barring smoking january spce casualties."
275,"my 15 INTC 55c 10/16s from end of july actually going 18% green lmao; 65% jump on the day.

Gave them up for dead. Let's see where this goes; pretty much my only position left unsold, barring smoking january spce casualties."
276,"my 15 INTC 55c 10/16s from end of july actually going 18% green lmao; 65% jump on the day.

Gave them up for dead. Let's see where this goes; pretty much my only position left unsold, barring smoking january spce casualties."
277,Imagine if aapl could crack 505. I wouldn't rip it would fucking crash to 485. Such weak action the last few days.
278,If you think tik tok isn’t going to be banned shouldn’t fsly be the easy safe bet for a 🚀
279,If you think tik tok isn’t going to be banned shouldn’t fsly be the easy safe bet for a 🚀
280,Back to normal market ath bull run pre covid no more red days also most movement in pre and ah making options worthless
281,But that's cuz I'm using up my savings 100% knowing I'm gonna get it cuz they said they would give one.
282,"My diamond hands screw me. 

My paper hands screw me. 

Dreaming about my roku 8/28 $160’s I sold on Wednesday.... 🤡🤡😭😭"
283,Fuck you cuckerberg you fucking fuck.  The one time I buy calls on fb it dips 4% and trades sideways.  Cuckerbitch costing me sweet tendies
284,Dunno but it's been like this for the week. But somehow tsla keeps rocketing up? There is some manipulation here.
285,Got 1.5k to play thinking vix puts or spy calls eod or rkt if it goes red again since I overslept and missed that dip.
286,Puts on vxx anyone? Picked some up at the top of today
287,More like aapl giving back last weeks gains hard
288,I’m losing money holding these msft calls😞😞
289,Ccl 1/22 30. And rcl 1/22 60
290,2.5k in aapl 1k in nvda 27 cents in wmt
291,2.5k in aapl 1k in nvda 27 cents in wmt
292,Sold the very dumb 8/28 tsla 2400c I accidentally bought at close for a good 40% profit at open. Feeling good that my dumb choices have yet to bankrupt me.
293,Play the potential tok news over the weekend. So MSFT WMT or ORCL
294,"i fomod into zm and roku trades

no more red days pls"
295,"i fomod into zm and roku trades

no more red days pls"
296,not even warton berfet would buy tsla up here. he likes da cash flo
297,Sold qqq calls at open and the only positions I have are Verizon 2021 calls
298,op is just talking out his ass he mad his 0 dte puts keep expiring worthless
299,All the dd you need is in the name
300,Who bought ulta calls at open 😅😅😅
301,I’m bored; announce some tik tok news
302,Any word on srne it moved up a bit.
303,#im gonna cum so gd hard when FB ends the day below $290 today
304,Sold abt at open and it’s really saved my sanity
305,If I ever try to play msft again just off me
306,"i think amd will go for 86 again

buy the dip"
307,"I turned my uvxy calls into spreads and sold everything else. 

Still holding onto my intel shares in my ira 

Next play will be apple if keeps dipping"
308,I said the same things to your mom last night
309,Now is the time for tsla 0dte's
310,Having kids sounds miserable
311,"I’m thinking about going to td Ameritrade or interactive brokers but the ease of robinhood keeps me there

Have lost probably $1000 or so on shitty fills for debit spreads(sometimes is just me fucking up)- worth it in the end but I’d still like to have that money"
312,"Yeah, I think my issue with FB plays is more often than not there seems to be negative news that quashes and good news. People getting upset at social media, Zuckerberg says they aren't changing policies, some shit about ads getting pulled, blah blah blah. Compare that to a meme like TSLA which is basically only ever good news all the time.
I think I should just swear off FB plays. Not fucking worth it."
313,chances tik tok news comes out during market hours?
314,Hold NIO calls to the weekend and make money on the rebound or sell today and yolo call a stock into the weekend?
315,V8 &amp; Kettle cuz it’s the weekend and I’m Cash Gang.
316,"Me hold intc calls as soon as it crashed: 😐

INTC for weeks: ""guess I'll go into a coma""

Me three days ago: waste of money just sitting here let me remove these calls and get back in later 

INTC: 'bout that time to moon I guess"
317,My gf is flat and confirms it’s flat forever
318,Why so much negativity ard APPL?
319,You most sold that tsla srop
320,"Once tsla and aapl split they are definitely going to dip, everyone should now that by now, buy the dip after the split"
321,"Once tsla and aapl split they are definitely going to dip, everyone should now that by now, buy the dip after the split"
322,Lol qqq puts
323,Vix and slv steadily climbing for days seems people might be getting a bit scared
324,"I keep buying nclh every payday, love how stupid this stock is"
325,solid dd here. name checks out.
326,Someone post that Twitter link of the influencer who bought like 30k of tsla shares this week.
327,"Wow just looked at them. Someone smarter needs to chime in because that looks fucked. I'd love to know why too, like you said, low IV, plenty of time and ATM. Guess you need it to go itm to profit? Weird bro, wish I could give you an actual answer."
328,since this Monday i already thought something was suspicious. aapl liked like it was trying to go up up up but looked like someone was trying to push it down on purpose
329,dam i really should have held my fb put spreads
330,"Yeah its a hold for sure, if this tik tok deal goes thru you can expect a huge jump next week"
331,Or buy vxx calls and get in on the fun!
332,I need some plays guys. I’m about to fuckin $rope. My amd calls didn’t sell then it tanked. Was up this week now I’m red as fuck.
333,"there will be a heavy sell off monday cuz people who are holding from lets say 1800 ranges would probably get rid of 1/5th of their positions.   
then there will be a decent surge after next week as we go towards battery days...   
regardless i am buying shares on it... and intend to hold. so you might be in the money lol"
334,Rip to all the weekly Apple fds unless it pops power hour
335,"up a measly 6% on my SLV calls after avging down. FUCK THIS SHIT

where's all the sick IV cuz SLV is gonna go to 40 reeeeeeee"
336,Selling kids in their dressers
337,Yea slv is trash on iv now.
338,I’m thinking the same but I feel it’ll skyrocket Monday before selling off eod or Tuesday morning lol but I’m deff selling my 9/4 calls and loading up on sqqq calls
339,I’m thinking the same but I feel it’ll skyrocket Monday before selling off eod or Tuesday morning lol but I’m deff selling my 9/4 calls and loading up on sqqq calls
340,"Fuck yeah keep going up ⬆️ 

For the first time sold my uvxy calls at the peak and hopefully will buy again when it dips hard"
341,I’m assuming it’s bc it was stuck in that range for two months and has broke out to find another support and resistance much like other stocks have done this month (ie Visa) That’s just my 2 cents
342,Think of yourself as a new Boomer. You can pay for you kids college and THEY can live in YOUR basement.
343,Just bought nclh puts for October. Am I retarded?
344,"It's a low stress way of making money - that I'll just end up blowing on a yolo later lol. I knew the stock will explode for the split so last Friday I bought this. It's all a game of getting a good spread price as I bought this for $378 and profit is $622 as long as it closes over $500. Best part is dips don't affect it as much.


I bought a couple spreads on my other account and one is for NIO 21/22 and even though the stock was down yesterday, my spread was making money."
345,"It spiked on that random mini crash yesterday, which fully recovered but the vix was left at elevated levels. Vix is such broken trash"
346,Buy aapl dip retards!
347,What's the difference between vxx and uvxy? I'm not doing great with my uvxy plays
348,What's the difference between vxx and uvxy? I'm not doing great with my uvxy plays
349,Buy fb calls now hold over the weekend
350,Straight up having a lovely time cuz of SLV
351,Whens the infamous tsla bounce back?
352,"Just to clarify, if I buy a few shares of aapl today, will it still qualify for the split, or would I have needed to purchase a few days ago?"
353,My slv 25.5c 8/28 went from +200% to -50% to +75% all in a matter of 3 days. I can see why fds are so popular around here
354,My slv 25.5c 8/28 went from +200% to -50% to +75% all in a matter of 3 days. I can see why fds are so popular around here
355,I got out. I'll pop in at close probably cuz everyone gonna sell off hard
356,"How much are pton $67.5 8/28 worth right now?

I sold mine yesterday and now they’re off Robinhood because they expire today"
357,"holding a tsla 2200 FD and kinda worried about the lunch gang. They are usually ok, but they tried to kill me yesterday with that massive selloff."
358,"Really considering a credit spread yolo on AMZN, talk me out of blowing up my account. 🥴"
359,Sell everything but aapl and put it in Tesla for next week
360,mcd nike sbux printing next 2-3 weeks
361,So wday and crm crushed earnings is zm too obvious?
362,So wday and crm crushed earnings is zm too obvious?
363,So wday and crm crushed earnings is zm too obvious?
364,Is you ain’t in wmt you hate money
365,2k studios better never go public bro i swear i will be the end of them
366,"I've got 250 in my account, where do I yolo it"
367,Just praying that the tik tok buy out goes through today at this point MSFT $230c 8/28
368,SNE $82 9/11 cuz fall guys is the free game this month on ps4 and that shit is fun
369,"\*Insert ""why not both"" taco girl from 2006 commercial\*"
370,"I’ve never stubbornly held something as hard as these uvxy calls, not selling till I see spy red"
371,I just bought a call bc of this. Up 5% already. Thanks
372,"I dipped out after that morning spike started reversing. Got lucky with 9/4’s bought yesterday, wil rebuy id it continues to dip under $50 again"
373,"looks like Tim Cook sold 1/4th of his positions this week. Transaction date aug 25, 265k shares sold at $496, holding 837k shares."
374,Why the fuck didn’t I sell aapl when it was at 515 this Monday??
375,"1 hr of slow bleeding on SPY, wiped out with 5 minutes of Hulk"
376,Plant your aapl seeds now! The rains are comin and this thing is about to rise!
